Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
32062000	Pigments and preparations based on chromiu   compounds	India	Kg	12360	3997	1182
32064100	Ultramarine and preparations based thereon	China	Kg	300	65	20
32064100	Ultramarine and preparations based thereon	India	Kg	210	69	21
32064200	Lithopone and other pigments and preparati  ns based on zinc sulphide	China	Kg	3	2	1
32064900	Other colouring matter; preparations as sp  cified in note 3, nes	China	Kg	101	123	37
32064900	Other colouring matter; preparations as sp  cified in note 3, nes	India	Kg	205945	69997	20655
32064900	Other colouring matter; preparations as sp  cified in note 3, nes	Viet Nam	Kg	27000	1796	538
32065000	Inorganic products of a kind used as lumin  phores	India	Kg	4416	248	74
32071000	Prepared pigments, opacifiers and colours   or ceramics, etc	China	Kg	6	20	6
32071000	Prepared pigments, opacifiers and colours   or ceramics, etc	India	Kg	1011	216	65
32072000	Vitrifiable enamels and glazes, englobes a  d similar preparations	India	Kg	30000	2094	609
32081000	Paints & varnishes based on polyesters, in  a non-aqueous medium	India	LTR	25766	9450	6389
32082000	Paints & varnishes based on acrylic or vin  l polymers, in a non-aqueous medium	Egypt	LTR	7066	4126	2858
32082000	Paints & varnishes based on acrylic or vin  l polymers, in a non-aqueous medium	India	LTR	24340	1512	1026
32089000	Paints and varnishes, in a non-aqueous med  um, nes.	China	LTR	1932	562	383
32089000	Paints and varnishes, in a non-aqueous med  um, nes.	Egypt	LTR	400	399	217
32089000	Paints and varnishes, in a non-aqueous med  um, nes.	India	LTR	85840	32811	15272
32089000	Paints and varnishes, in a non-aqueous med  um, nes.	Thailand	LTR	11525	1949	1350
32091010	Acrylic Emulsion	India	LTR	1199147	220035	102138
32091090	Other Paint, varnishes enamels	China	LTR	19	1	1
32091090	Other Paint, varnishes enamels	Germany	LTR	1	6	4
32091090	Other Paint, varnishes enamels	India	LTR	30577	4674	3176
32099000	Paints and varnishes, in an aqueous medium   nes	China	LTR	1354	760	516
32099000	Paints and varnishes, in an aqueous medium   nes	India	LTR	3943	2826	1930
32099000	Paints and varnishes, in an aqueous medium   nes	Thailand	LTR	260	163	113
32099000	Paints and varnishes, in an aqueous medium   nes	United Kingdom	LTR	3	293	203
32100010	Thermoplastic Road Marking Material	India	Kg	48000	2536	1757
32100090	Other Paint, Varnishes, enamel. Lacquers, Distemper	China	LTR	3308	1687	1169
32100090	Other Paint, Varnishes, enamel. Lacquers, Distemper	India	LTR	549	78	53
32110000	Prepared driers	Egypt	Kg	1825	1198	359
32110000	Prepared driers	India	Kg	54598	22334	5160
32121000	Stamping foils	India	Kg	1364	670	160
32129000	Pigments in non-aqueous media, nes, for re  ail sale	China	Kg	956	405	97
32129000	Pigments in non-aqueous media, nes, for re  ail sale	India	Kg	3196	1874	455
32131000	Colours in sets	China	Kg	482	149	38
32131000	Colours in sets	India	Kg	1839	713	169
32131000	Colours in sets	Japan	Kg	355	547	133
32131000	Colours in sets	United States	Kg	5	2	1
32131000	Colours in sets	Viet Nam	Kg	37	138	34
32139000	Artists', students' or signboard painters'  colours in packings, nes.	China	Kg	507	137	33
32139000	Artists', students' or signboard painters'  colours in packings, nes.	India	Kg	1245	722	171
32139000	Artists', students' or signboard painters'  colours in packings, nes.	United Kingdom	Kg	3	3	1
32141000	Glaziers'& grafting putty, resin cements,c  ulking comp's & other mastics; painte	China	Kg	96895	23335	7121
32141000	Glaziers'& grafting putty, resin cements,c  ulking comp's & other mastics; painte	Egypt	Kg	1773	406	124
32141000	Glaziers'& grafting putty, resin cements,c  ulking comp's & other mastics; painte	India	Kg	1180831	42196	11118
32149000	Non-refractory surfacing preparations	Germany	Kg	120	466	142
32149000	Non-refractory surfacing preparations	India	Kg	158976	11726	3220
32151100	Black printing ink, whether or not concent  ated or solid	China	Kg	35	153	37
32151100	Black printing ink, whether or not concent  ated or solid	France	Kg	13	208	51
32151100	Black printing ink, whether or not concent  ated or solid	India	Kg	27860	10192	2188
32151900	Printing ink, whether or not concentrated   r solid (excl black)	China	Kg	3765	1522	374
32151900	Printing ink, whether or not concentrated   r solid (excl black)	India	Kg	200006	80555	16478
32151900	Printing ink, whether or not concentrated   r solid (excl black)	Korea, Republic of	Kg	2	1	0
32151900	Printing ink, whether or not concentrated   r solid (excl black)	United Kingdom	Kg	5	35	8
32159000	Other ink, whether or not concentrated or   olid, nes	Austria	Kg	0	12	3
32159000	Other ink, whether or not concentrated or   olid, nes	China	Kg	4474	1404	361
32159000	Other ink, whether or not concentrated or   olid, nes	India	Kg	33808	15194	3094
32159000	Other ink, whether or not concentrated or   olid, nes	Japan	Kg	1241	4990	1213
32159000	Other ink, whether or not concentrated or   olid, nes	Korea, Republic of	Kg	12	35	9
32159000	Other ink, whether or not concentrated or   olid, nes	Philippines	Kg	95	346	84
33011900	Essential oils of citrus fruit (incl conc r tes and absolutes), nes	India	LTR	529	142	34
33012500	Essential oils of mints (incl concretes a n  absolutes), nes	India	LTR	200	145	35
33012900	Essential oils (incl concretes and absolu t s), nes.	India	LTR	565	973	232
33012900	Essential oils (incl concretes and absolu t s), nes.	Malaysia	LTR	115	125	30
33012900	Essential oils (incl concretes and absolu t s), nes.	United States	LTR	1	5	1
33013000	Resinoids  .	China	LTR	37	30	7
33019000	Concentrates of essential oils in fats  aqu ous distillates, extracted oleoresi	China	LTR	462	137	33
33019000	Concentrates of essential oils in fats  aqu ous distillates, extracted oleoresi	Hong Kong	LTR	1	1	0
33019000	Concentrates of essential oils in fats  aqu ous distillates, extracted oleoresi	India	LTR	16074	21053	4302
33019000	Concentrates of essential oils in fats  aqu ous distillates, extracted oleoresi	Japan	LTR	1	1	0
33021010	Mixtures of,or with basis of,odoriferous s  bst's incl alc sol's for food or drin	China	LTR	20	7	3
33021010	Mixtures of,or with basis of,odoriferous s  bst's incl alc sol's for food or drin	Germany	LTR	502	2050	747
33021010	Mixtures of,or with basis of,odoriferous s  bst's incl alc sol's for food or drin	India	LTR	258409	43334	13764
33021010	Mixtures of,or with basis of,odoriferous s  bst's incl alc sol's for food or drin	Singapore	LTR	252	1508	550
33021090	Other odoriferous substances, of kind used for the manufacture of beverage	China	LTR	12880	5993	1795
33021090	Other odoriferous substances, of kind used for the manufacture of beverage	France	LTR	25	139	42
33021090	Other odoriferous substances, of kind used for the manufacture of beverage	India	LTR	25426	11099	2720
33021090	Other odoriferous substances, of kind used for the manufacture of beverage	Singapore	LTR	17040	15020	4499
33021090	Other odoriferous substances, of kind used for the manufacture of beverage	Viet Nam	LTR	19600	8625	2583
33029000	Mixtures of,or with a basis of,odoriferous  subst's incl alc sol's for use in ind	China	LTR	535	495	148
33029000	Mixtures of,or with a basis of,odoriferous  subst's incl alc sol's for use in ind	India	LTR	62466	68837	17257
33030000	Perfumes and toilet waters	China	LTR	782	2076	1054
33030000	Perfumes and toilet waters	France	LTR	783	3313	1638
33030000	Perfumes and toilet waters	India	LTR	17335	23869	10988
33030000	Perfumes and toilet waters	Israel	LTR	8	14	7
33030000	Perfumes and toilet waters	Italy	LTR	9	128	63
33030000	Perfumes and toilet waters	Kuwait	LTR	9	30	15
33030000	Perfumes and toilet waters	Malaysia	LTR	6	2	1
33030000	Perfumes and toilet waters	Qatar	LTR	6	25	12
33030000	Perfumes and toilet waters	Spain	LTR	4	62	31
33030000	Perfumes and toilet waters	United Arab Emirates	LTR	641	1511	839
33030000	Perfumes and toilet waters	United States	LTR	164	2818	1394
33041000	Lip make-up preparations  . .	Australia	Kg	2	10	5
33041000	Lip make-up preparations  . .	Canada	Kg	0	30	19
33041000	Lip make-up preparations  . .	China	Kg	28555	15655	8497
33041000	Lip make-up preparations  . .	Czech Republic	Kg	1	88	43
33041000	Lip make-up preparations  . .	France	Kg	0	2	1
33041000	Lip make-up preparations  . .	Hong Kong	Kg	10	5	3
33041000	Lip make-up preparations  . .	India	Kg	934	9329	4590
33041000	Lip make-up preparations  . .	Israel	Kg	1	2	1
33041000	Lip make-up preparations  . .	Italy	Kg	0	4	2
33041000	Lip make-up preparations  . .	Korea, Republic of	Kg	0	5	4
33041000	Lip make-up preparations  . .	Poland	Kg	88	157	89
33041000	Lip make-up preparations  . .	Switzerland	Kg	0	0	0
33041000	Lip make-up preparations  . .	Thailand	Kg	5	5	4
33041000	Lip make-up preparations  . .	Turkey	Kg	21	1200	593
33041000	Lip make-up preparations  . .	United States	Kg	22	428	214
33041000	Lip make-up preparations  . .	Viet Nam	Kg	103	500	247
33042000	Eye make-up preparations  . .	Australia	Kg	0	1	1
33042000	Eye make-up preparations  . .	Canada	Kg	0	2	1
33042000	Eye make-up preparations  . .	China	Kg	15661	8810	4553
33042000	Eye make-up preparations  . .	Germany	Kg	9	81	40
33042000	Eye make-up preparations  . .	Hong Kong	Kg	1	1	1
33042000	Eye make-up preparations  . .	India	Kg	199	2552	1257
33042000	Eye make-up preparations  . .	Italy	Kg	1	16	10
33042000	Eye make-up preparations  . .	Korea, Republic of	Kg	2	9	6
33042000	Eye make-up preparations  . .	Luxembourg	Kg	0	1	0
33042000	Eye make-up preparations  . .	Taiwan, Province of China	Kg	0	1	0
33042000	Eye make-up preparations  . .	Thailand	Kg	21	17	13
33042000	Eye make-up preparations  . .	Turkey	Kg	79	325	161
33042000	Eye make-up preparations  . .	United Arab Emirates	Kg	4	7	3
33042000	Eye make-up preparations  . .	United Kingdom	Kg	0	5	3
33042000	Eye make-up preparations  . .	United States	Kg	11	343	170
33043010	Manicure or pedicure preparations   .	China	LTR	1642	2648	1322
33043010	Manicure or pedicure preparations   .	India	LTR	314	1652	801
33043010	Manicure or pedicure preparations   .	United States	LTR	177	467	233
33043090	Manicure or pedicure preparations   .	China	Kg	7411	2552	1289
33043090	Manicure or pedicure preparations   .	India	Kg	2	2	1
33043090	Manicure or pedicure preparations   .	United States	Kg	27	48	24
33049100	Powders, whether or not compressed   .	China	Kg	9601	7520	3770
33049100	Powders, whether or not compressed   .	France	Kg	0	2	1
33049100	Powders, whether or not compressed   .	Germany	Kg	1	4	2
33049100	Powders, whether or not compressed   .	Hong Kong	Kg	2	3	2
33049100	Powders, whether or not compressed   .	India	Kg	23657	15967	7763
33049100	Powders, whether or not compressed   .	Indonesia	Kg	16493	9916	4903
33049100	Powders, whether or not compressed   .	Italy	Kg	4	42	21
33049100	Powders, whether or not compressed   .	Korea, Republic of	Kg	8	7	4
33049100	Powders, whether or not compressed   .	Mauritius	Kg	0	3	1
33049100	Powders, whether or not compressed   .	Poland	Kg	222	943	536
33049100	Powders, whether or not compressed   .	Thailand	Kg	5	8	6
33049100	Powders, whether or not compressed   .	United States	Kg	14	46	23
33049910	Face Cream	Australia	Kg	0	0	0
33049910	Face Cream	Canada	Kg	52	70	44
33049910	Face Cream	China	Kg	2265	2860	1416
33049910	Face Cream	Germany	Kg	1	17	8
33049910	Face Cream	India	Kg	14258	37095	18122
33049910	Face Cream	Israel	Kg	1	2	1
33049910	Face Cream	Korea, Republic of	Kg	25	48	32
33049910	Face Cream	Thailand	Kg	15	42	21
33049910	Face Cream	United Arab Emirates	Kg	80	34	17
33049910	Face Cream	United States	Kg	205	1049	557
33049920	Nail Polish	China	LTR	1176	2297	697
33049920	Nail Polish	India	LTR	5057	3570	1052
33049920	Nail Polish	Israel	LTR	1	1	0
33049930	Body Lotion	Australia	Kg	1	1	0
33049930	Body Lotion	Canada	Kg	1161	565	297
33049930	Body Lotion	China	Kg	2318	1777	879
33049930	Body Lotion	Germany	Kg	690	231	114
33049930	Body Lotion	India	Kg	15382	17447	8490
33049930	Body Lotion	Israel	Kg	1	1	0
33049930	Body Lotion	Korea, Republic of	Kg	2	6	4
33049930	Body Lotion	United States	Kg	3619	2062	1164
33049940	Sindur	India	Kg	33301	2024	590
33049950	Petrolium Jelly in retail sales packed used to protect skin	China	Kg	380	571	309
33049950	Petrolium Jelly in retail sales packed used to protect skin	India	Kg	371	564	273
33049950	Petrolium Jelly in retail sales packed used to protect skin	United States	Kg	0	1	1
33049990	Other beauty or make up preparetions	Australia	Kg	34	71	35
33049990	Other beauty or make up preparetions	Bahrain	Kg	6	7	4
33049990	Other beauty or make up preparetions	Bulgaria	Kg	0	1	1
33049990	Other beauty or make up preparetions	Canada	Kg	76	425	268
33049990	Other beauty or make up preparetions	China	Kg	23610	14545	7543
33049990	Other beauty or make up preparetions	Denmark	Kg	1	1	0
33049990	Other beauty or make up preparetions	France	Kg	319	2777	1375
33049990	Other beauty or make up preparetions	Germany	Kg	13058	6901	3412
33049990	Other beauty or make up preparetions	Greece	Kg	2	2	1
33049990	Other beauty or make up preparetions	Hong Kong	Kg	25	30	15
33049990	Other beauty or make up preparetions	India	Kg	97052	174603	101335
33049990	Other beauty or make up preparetions	Iraq	Kg	1	0	0
33049990	Other beauty or make up preparetions	Israel	Kg	13	22	11
33049990	Other beauty or make up preparetions	Italy	Kg	11	172	88
33049990	Other beauty or make up preparetions	Japan	Kg	102	706	374
33049990	Other beauty or make up preparetions	Korea, Republic of	Kg	325	556	302
33049990	Other beauty or make up preparetions	Kuwait	Kg	45	77	38
33049990	Other beauty or make up preparetions	Malaysia	Kg	279	877	434
33049990	Other beauty or make up preparetions	Monaco	Kg	0	6	3
33049990	Other beauty or make up preparetions	Netherlands	Kg	0	0	0
33049990	Other beauty or make up preparetions	Oman	Kg	28	18	9
33049990	Other beauty or make up preparetions	Pakistan	Kg	32	66	33
33049990	Other beauty or make up preparetions	Portugal	Kg	1	2	1
33049990	Other beauty or make up preparetions	Qatar	Kg	415	294	145
33049990	Other beauty or make up preparetions	Russian Federation	Kg	475	164	82
33049990	Other beauty or make up preparetions	Saudi Arabia	Kg	236	44	22
33049990	Other beauty or make up preparetions	Singapore	Kg	61	28	14
33049990	Other beauty or make up preparetions	Spain	Kg	307	1807	894
33049990	Other beauty or make up preparetions	Thailand	Kg	199	380	208
33049990	Other beauty or make up preparetions	Turkey	Kg	210	1937	958
33049990	Other beauty or make up preparetions	United Arab Emirates	Kg	3355	1907	1088
33049990	Other beauty or make up preparetions	United Kingdom	Kg	128	154	134
33049990	Other beauty or make up preparetions	United States	Kg	3416	5543	2762
33049990	Other beauty or make up preparetions	Viet Nam	Kg	1101	2384	1179
33051000	Shampoos   .	Argentina	LTR	828	351	196
33051000	Shampoos   .	Brazil	LTR	1	6	4
33051000	Shampoos   .	China	LTR	23091	5428	3072
33051000	Shampoos   .	France	LTR	18	41	23
33051000	Shampoos   .	Germany	LTR	103	215	120
33051000	Shampoos   .	India	LTR	129880	57636	31514
33051000	Shampoos   .	Iraq	LTR	2	0	0
33051000	Shampoos   .	Israel	LTR	2	3	1
33051000	Shampoos   .	Kuwait	LTR	119	71	40
33051000	Shampoos   .	Lithuania	LTR	1	3	2
33051000	Shampoos   .	Malaysia	LTR	25	31	17
33051000	Shampoos   .	Oman	LTR	15	4	2
33051000	Shampoos   .	Qatar	LTR	363	174	97
33051000	Shampoos   .	Spain	LTR	1	4	2
33051000	Shampoos   .	Switzerland	LTR	1	3	2
33051000	Shampoos   .	Thailand	LTR	7431	4162	2329
33051000	Shampoos   .	Turkey	LTR	154	182	102
33051000	Shampoos   .	United Arab Emirates	LTR	2253	508	291
33051000	Shampoos   .	United Kingdom	LTR	2049	1269	710
33051000	Shampoos   .	United States	LTR	576	179	100
33051000	Shampoos   .	Viet Nam	LTR	1663	1815	1015
33052000	Preparations for permanent waving or strai  htening	China	Kg	12037	1972	1103
33052000	Preparations for permanent waving or strai  htening	Israel	Kg	1	0	0
33053000	Hair lacquers  . .	China	Kg	56202	12346	7199
33053000	Hair lacquers  . .	India	Kg	5390	1863	1019
33053000	Hair lacquers  . .	Italy	Kg	545	452	253
33053000	Hair lacquers  . .	United States	Kg	1	8	5
33059010	Hair Oil	Bangladesh	LTR	22500	7736	3825
33059010	Hair Oil	China	LTR	2493	1489	736
33059010	Hair Oil	France	LTR	12	53	26
33059010	Hair Oil	Germany	LTR	12	27	13
33059010	Hair Oil	India	LTR	93830	42270	20491
33059010	Hair Oil	Korea, Republic of	LTR	2	1	0
33059010	Hair Oil	Switzerland	LTR	13	73	36
33059010	Hair Oil	Turkey	LTR	18	50	25
33059010	Hair Oil	United Arab Emirates	LTR	1764	361	178
33059010	Hair Oil	United States	LTR	1	4	2
33059020	Hair dye or colour	China	Kg	711	200	99
33059020	Hair dye or colour	Germany	Kg	39	180	89
33059020	Hair dye or colour	India	Kg	46701	34260	16606
33059020	Hair dye or colour	Turkey	Kg	47	65	32
33059030	Hair cream	China	Kg	4638	1230	608
33059030	Hair cream	France	Kg	60	75	37
33059030	Hair cream	India	Kg	1683	1299	630
33059030	Hair cream	Turkey	Kg	566	744	368
33059030	Hair cream	United Arab Emirates	Kg	84	26	13
33059040	Hair conditioner	China	LTR	5131	1044	527
33059040	Hair conditioner	Germany	LTR	19	56	28
33059040	Hair conditioner	India	LTR	3675	2545	1241
33059040	Hair conditioner	Italy	LTR	12	35	17
33059040	Hair conditioner	Thailand	LTR	39310	17784	8793
33059040	Hair conditioner	Turkey	LTR	78	80	40
33059040	Hair conditioner	United Kingdom	LTR	708	429	212
33059040	Hair conditioner	United States	LTR	1	6	3
33059090	Other preparations for use on the hair	Australia	Kg	1	0	0
33059090	Other preparations for use on the hair	Bangladesh	Kg	3866	3992	1974
33059090	Other preparations for use on the hair	Brazil	Kg	3	7	3
33059090	Other preparations for use on the hair	China	Kg	37744	9967	5049
33059090	Other preparations for use on the hair	Germany	Kg	891	1381	683
33059090	Other preparations for use on the hair	India	Kg	57849	40847	19799
33059090	Other preparations for use on the hair	Israel	Kg	0	0	0
33059090	Other preparations for use on the hair	Italy	Kg	322	673	333
33059090	Other preparations for use on the hair	Thailand	Kg	7	2	1
33059090	Other preparations for use on the hair	Turkey	Kg	634	332	164
33059090	Other preparations for use on the hair	United Arab Emirates	Kg	60	18	9
33059090	Other preparations for use on the hair	United States	Kg	20	8	4
33061000	Dentifrices   .	China	Kg	1966	1342	667
33061000	Dentifrices   .	India	Kg	59253	25141	11061
33061000	Dentifrices   .	Malaysia	Kg	1800	2851	1410
33061000	Dentifrices   .	Netherlands	Kg	10	1	1
33061000	Dentifrices   .	Thailand	Kg	3	2	1
33062000	Yarn used to clean between the teeth (dent  l floss),in individual retail package	India	Kg	110	124	61
33069000	Preparations for oral or dental hygiene (i  cl denture fixative), nes	Australia	Kg	7	5	2
33069000	Preparations for oral or dental hygiene (i  cl denture fixative), nes	China	Kg	18	29	15
33069000	Preparations for oral or dental hygiene (i  cl denture fixative), nes	India	Kg	4747	2449	1188
33069000	Preparations for oral or dental hygiene (i  cl denture fixative), nes	Israel	Kg	2	1	1
33069000	Preparations for oral or dental hygiene (i  cl denture fixative), nes	United Arab Emirates	Kg	1	2	1
33071000	Pre-shave, shaving or after-shave preparat  ons	Australia	LTR	199	197	97
33071000	Pre-shave, shaving or after-shave preparat  ons	China	LTR	50	10	5
33071000	Pre-shave, shaving or after-shave preparat  ons	India	LTR	2482337	1392	677
33071000	Pre-shave, shaving or after-shave preparat  ons	Italy	LTR	5701	5326	2633
33072000	Personal deodorants and antiperspirants   .	China	LTR	71	75	32
33072000	Personal deodorants and antiperspirants   .	France	LTR	220	190	81
33072000	Personal deodorants and antiperspirants   .	India	LTR	16151	20909	8963
33072000	Personal deodorants and antiperspirants   .	Italy	LTR	486	702	302
33072000	Personal deodorants and antiperspirants   .	United Arab Emirates	LTR	1334	917	394
33072000	Personal deodorants and antiperspirants   .	United Kingdom	LTR	40	21	9
33072000	Personal deodorants and antiperspirants   .	United States	LTR	268	275	132
33073000	Perfumed bath salts and other bath prepara  ions.	China	Kg	225	577	285
33073000	Perfumed bath salts and other bath prepara  ions.	India	Kg	621	424	209
33073000	Perfumed bath salts and other bath prepara  ions.	United Arab Emirates	Kg	190	1153	570
33074100	Agarbatti and other odiferous preparations  which operate by burning.	Bhutan	Kg	1965	276	119
33074100	Agarbatti and other odiferous preparations  which operate by burning.	China	Kg	8	1	0
33074100	Agarbatti and other odiferous preparations  which operate by burning.	India	Kg	108215	30098	12141
33074100	Agarbatti and other odiferous preparations  which operate by burning.	Thailand	Kg	980	83	36
33074100	Agarbatti and other odiferous preparations  which operate by burning.	Viet Nam	Kg	195246	19935	8562
33074900	Preparations for deodorizing rooms, nes   .	China	LTR	515	21	15
33074900	Preparations for deodorizing rooms, nes   .	India	LTR	18512	12090	5162
33079000	Other perfumery, cosmetic or toilet prepar  tions, nes	China	Kg	21	16	7
33079000	Other perfumery, cosmetic or toilet prepar  tions, nes	France	Kg	0	3	2
33079000	Other perfumery, cosmetic or toilet prepar  tions, nes	India	Kg	16910	11200	4753
33079000	Other perfumery, cosmetic or toilet prepar  tions, nes	Kenya	Kg	3	7	3
33079000	Other perfumery, cosmetic or toilet prepar  tions, nes	United States	Kg	12	29	16
34011100	Soap for toilet use including medicaments .	China	Kg	1402	296	160
34011100	Soap for toilet use including medicaments .	India	Kg	123207	26892	14139
34011100	Soap for toilet use including medicaments .	Indonesia	Kg	749	291	158
34011100	Soap for toilet use including medicaments .	Iraq	Kg	1	0	0
34011100	Soap for toilet use including medicaments .	Malaysia	Kg	480	771	418
34011100	Soap for toilet use including medicaments .	Qatar	Kg	37	22	12
34011100	Soap for toilet use including medicaments .	United Arab Emirates	Kg	36	29	16
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	Bahrain	Kg	12	4	2
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	India	Kg	128620	11079	5824
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	Kuwait	Kg	2	4	2
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	Malaysia	Kg	4	2	1
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	Oman	Kg	16	7	4
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	Qatar	Kg	62	22	12
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	Saudi Arabia	Kg	81	14	2
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	Thailand	Kg	2724	185	101
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	United Arab Emirates	Kg	2	1	2
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	United Kingdom	Kg	10	10	12
34011900	Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes	United States	Kg	13	69	38
34012010	Soap in other forms, nes  .	India	Kg	175000	35876	12757
34012090	Soap in other forms, nes  .	China	Kg	355	88	69
34012090	Soap in other forms, nes  .	India	Kg	3915	766	411
34012090	Soap in other forms, nes  .	Kuwait	Kg	11	13	7
34012090	Soap in other forms, nes  .	Philippines	Kg	0	0	0
34012090	Soap in other forms, nes  .	Qatar	Kg	3	4	2
34012090	Soap in other forms, nes  .	United Arab Emirates	Kg	2	3	1
34012090	Soap in other forms, nes  .	United States	Kg	1	3	2
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	Canada	Kg	1611	710	400
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	China	Kg	3978	996	549
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	France	Kg	375	469	255
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	India	Kg	221890	116635	62344
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	Japan	Kg	66	276	162
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	Korea, Republic of	Kg	13	19	13
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	Poland	Kg	54	312	176
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	Singapore	Kg	575	860	467
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	Spain	Kg	14	45	24
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	United Arab Emirates	Kg	96	58	32
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	United Kingdom	Kg	10	44	24
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	United States	Kg	2940	2581	1445
34013000	Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.	Viet Nam	Kg	9033	6765	3670
34023100	Linear alkylbenzene sulphonic acids and their salts	India	Kg	422359	80709	24164
34023900	Other	China	Kg	361	273	148
34023900	Other	India	Kg	184497	38397	20761
34023900	Other	Korea, Republic of	Kg	10	4	3
34024100	Cationic	India	Kg	100	10	6
34024200	Non-ionic	India	Kg	2060	1673	908
34024200	Non-ionic	United Kingdom	Kg	21	84	46
34024900	Other	China	Kg	285	71	37
34024900	Other	France	Kg	5	112	27
34024900	Other	India	Kg	56010	11193	5942
34024900	Other	Israel	Kg	1	0	0
34024900	Other	Not_Specified	Kg	30	140	66
34024900	Other	Spain	Kg	6	10	5
34025010	Detergent Powder	India	Kg	244039	24975	13107
34025090	Others	India	Kg	243788	36462	19136
34025090	Others	Iran, Islamic Republic of	Kg	679	722	392
34025090	Others	Spain	Kg	43	44	24
34025090	Others	United States	Kg	110	756	410
34029000	Other	China	Kg	2989	2336	1314
34029000	Other	France	Kg	211	61	33
34029000	Other	Germany	Kg	5493	3435	1863
34029000	Other	Hungary	Kg	0	10	5
34029000	Other	India	Kg	755371	110461	58062
34029000	Other	Indonesia	Kg	400	576	313
34029000	Other	Israel	Kg	0	0	0
34029000	Other	Japan	Kg	29	193	104
34029000	Other	Korea, Republic of	Kg	5	10	7
34029000	Other	Malaysia	Kg	91	181	98
34029000	Other	Not_Specified	Kg	14	88	48
34029000	Other	Poland	Kg	147	83	45
34029000	Other	Qatar	Kg	14	10	6
34029000	Other	Spain	Kg	0	14	8
34029000	Other	Switzerland	Kg	311	875	475
34029000	Other	Thailand	Kg	648	120	69
34029000	Other	Turkey	Kg	81	49	27
34029000	Other	United Arab Emirates	Kg	5	2	5
34029000	Other	United Kingdom	Kg	385	588	319
34029000	Other	United States	Kg	82	821	446
34031100	Lubricating preparation materials, with <7  % petroleum oil for textile, leather,	India	LTR	324	160	39
34031900	Other lubricating preparations, with <70%   etroleum oil, nes	China	LTR	4327	645	201
34031900	Other lubricating preparations, with <70%   etroleum oil, nes	Germany	LTR	5	30	5
34031900	Other lubricating preparations, with <70%   etroleum oil, nes	India	LTR	28306	6958	1694
34031900	Other lubricating preparations, with <70%   etroleum oil, nes	Japan	LTR	0	2	1
34031900	Other lubricating preparations, with <70%   etroleum oil, nes	Spain	LTR	267	587	176
34039100	Preparations for lubricating materials, et  , nes	Japan	Kg	400	1450	434
34039900	Other lubricating preparations, nes	China	Kg	0	0	0
34039900	Other lubricating preparations, nes	India	Kg	21171	8773	2523
34042000	Artificial waxes & prepared waxes of poly(  xyethylene)(polyethylene glycol).	India	Kg	20	2	1
34049000	Artificial waxes and prepared waxes, nes  .	China	Kg	2325	916	222
34049000	Artificial waxes and prepared waxes, nes  .	India	Kg	13081	3326	702
34051000	Polishes, creams and similar preparations   or footwear or leather	China	Kg	37627	10707	3207
34051000	Polishes, creams and similar preparations   or footwear or leather	India	Kg	2189	2358	687
34051000	Polishes, creams and similar preparations   or footwear or leather	Thailand	Kg	84	22	6
34052000	Polishes, creams and similar preparations   or maintenance of woodwork	China	Kg	181	39	12
34052000	Polishes, creams and similar preparations   or maintenance of woodwork	India	Kg	10226	1338	398
34053000	Polishes and similar preparations for coac  work (excl metal polishes)	China	Kg	728	108	32
34053000	Polishes and similar preparations for coac  work (excl metal polishes)	India	Kg	1120	64	19
34054000	Scouring pastes and powders and other scou  ing preparations	India	Kg	10410	1230	362
